Necessary installtion criteria,"(Maybe include criteria that aren't strictly spatial (e.g., cost-effectiveness, maintenance requirements).)",,,,,,,,,,,,,,,,,,,,,,,,,
Nature-based Solution,Soil type,Soil depth,Slope,Available space,Sunlight exposure,Structural support,Water proximity,Climate compatibility,Land ownership,Drainage integration,Traffic patterns,Connectivity,Distance from buildings,Distance from utilities,Wind protection,Surface type,Irrigation access,Pedestrian activity,Zoning regulations,Maintenance access,Air quality,Noise reduction,Biodiversity potential,Maintenance requirements,Cost effectiveness,Public accessibility
29. Green tram tracks,✓,,,,,,,,,✓,✓,,,✓,,✓,✓,,✓,✓,✓,✓,✓,✓,✓,
30. Urban cliffs,,,✓,,✓,✓,,,,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
31. Bee highways,,,,✓,✓,,,✓,,,,✓,,,,,,,✓,✓,✓,,✓,✓,✓,
32. Floating wetlands,,,,,,,✓,,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,
33. Green bus shelters,,,,,✓,✓,,,,,✓,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
34. Urban prairies,✓,✓,,✓,,,,✓,✓,,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,✓
35. Moss walls,,,,,,✓,✓,,,,,,✓,,,,✓,,✓,✓,✓,✓,✓,✓,✓,
36. Green roundabouts,✓,,,✓,,,,,,✓,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,✓,
37. Therapeutic gardens,✓,✓,,✓,✓,,,,✓,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
38. Green schoolyards,✓,✓,,✓,✓,,,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
39. Urban bamboo forests,✓,✓,,✓,,,,✓,✓,,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓
40. Wildflower verges,✓,,,✓,✓,,,✓,,,✓,,,✓,,✓,,,✓,✓,✓,,✓,✓,✓,
41. Green tramway beds,✓,,,,,,,,,✓,✓,,,✓,,✓,✓,,✓,✓,✓,✓,✓,✓,✓,
42. Rooftop meadows,,✓,,,✓,✓,,✓,,,,,,,✓,,,,✓,✓,✓,,✓,✓,✓,
43. Urban hedgerows,✓,✓,,✓,,,,,✓,,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,
44. Eco-industrial parks,✓,✓,,✓,,,,✓,✓,✓,,,✓,✓,,✓,,,✓,✓,✓,✓,✓,✓,✓,
45. Green railway buffers,✓,✓,,✓,,,,,,,,,,,,,,,,,,,,,,
46. Phytoremediation sites,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,
47. Urban rock gardens,,,✓,✓,✓,,,,,,,,,,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓
48. Green highway embankments,✓,✓,✓,✓,,,,,✓,✓,,,✓,✓,,✓,,,✓,✓,✓,✓,✓,✓,✓,
49. Edible bus stops,✓,✓,,✓,✓,,,,✓,,✓,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
50. Urban bat habitats,,,,,,✓,✓,,✓,,,,✓,,,,,,✓,✓,,,✓,✓,✓,
51. Floating Ecosystem Modules,,,,,✓,,✓,,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
52. Accessible floating wetlands,,,,✓,,✓,✓,,✓,,,,,,,,,✓,✓,✓,✓,,✓,✓,✓,✓
53. Active Island Reactor (AIR),,,,,✓,,✓,,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,
54. Solar-integrated floating modules,,,,,✓,✓,✓,✓,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,
55. Multi-Stage Recirculating Constructed Wetland,✓,✓,,✓,,,✓,,✓,✓,,,✓,✓,,,✓,,✓,✓,✓,,✓,✓,✓,
56. Helix Flow Reactor,,,,,,✓,✓,,✓,✓,,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,
57. Dynamic Biofilm Media,,,,,,,✓,,,✓,,,,,,,,,✓,✓,✓,,✓,✓,✓,
58. Native planting schemes,✓,✓,,✓,✓,,,✓,,,,,,,,,✓,,✓,✓,✓,,✓,✓,✓,✓
59. Deep substrate garden roofs,,✓,,,✓,✓,,✓,,,,,,,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,
60. Low-maintenance green roofs,,✓,✓,,✓,✓,,✓,,,,,,,✓,,,,✓,✓,✓,✓,✓,✓,✓,
61. Pre-cultivated vegetation blankets,,✓,✓,,✓,✓,,✓,,,,,,,✓,,,,✓,✓,✓,✓,✓,✓,✓,
62. Perforated edge drainage systems,,,✓,,,,,,,✓,,,,,,,,,✓,✓,,,,✓,✓,
63. Multifunctional drainage layers,,,✓,,,✓,,,,✓,,,,,,,,,✓,✓,,,,✓,✓,
64. Integrated biosolar roofs,,✓,✓,,✓,✓,,✓,,,,,,,✓,,,,✓,✓,✓,,✓,✓,✓,
65. High-volume biodiverse roofs,,✓,✓,,✓,✓,,✓,,,,,,,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,
66. Urban food forests,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
67. Butterfly gardens,✓,✓,,✓,✓,,,✓,,,,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
68. Green noise barriers,,,,✓,,✓,,,✓,,✓,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,
69. Constructed ecosystems,✓,✓,,✓,✓,,,✓,✓,,,,,,,,,,✓,✓,✓,,✓,✓,✓,✓
70. Urban greenways,,,✓,✓,,,,,✓,,,✓,,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓
71. Rooftop farms,,✓,,,✓,✓,✓,✓,,,,,,,✓,,✓,,✓,✓,✓,,✓,✓,✓,
72. Living seawalls,,,,,,✓,✓,,✓,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
73. Micro-parks,,,,✓,,,,,✓,,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
74. Green tram tracks,✓,,,,,,,,,✓,✓,,,✓,,✓,✓,,✓,✓,✓,✓,✓,✓,✓,
75. Urban cliffs,,,✓,,✓,✓,,,,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
76. Bee highways,,,,✓,✓,,,✓,,,,✓,,,,,,,✓,✓,✓,,✓,✓,✓,
77. Green bus shelters,,,,,✓,✓,,,,,✓,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
78. Urban prairies,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,✓
79. Moss walls,,,,,,✓,✓,,,,,,✓,,,,✓,,✓,✓,✓,✓,✓,✓,✓,
80. Green roundabouts,✓,,,✓,,,,,,✓,✓,,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,✓,
81. Therapeutic gardens,✓,✓,,✓,✓,,,,✓,,,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
82. Green schoolyards,✓,✓,,✓,✓,,,,✓,,,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
83. Urban bamboo forests,✓,✓,,✓,,,,✓,✓,,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓
84. Wildflower verges,✓,,,✓,✓,,,✓,,,✓,,,✓,,✓,,,✓,✓,✓,,✓,✓,✓,
85. Green tramway beds,✓,,,,,,,,,✓,✓,,,✓,,✓,✓,,✓,✓,✓,✓,✓,✓,✓,
86. Urban hedgerows,✓,✓,,✓,,,,,✓,,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,
87. Eco-industrial parks,✓,✓,,✓,,,,✓,✓,✓,,,✓,✓,,✓,,,✓,✓,✓,✓,✓,✓,✓,
88. Green railway buffers,✓,✓,,✓,,,,,✓,,,✓,✓,✓,,,,,✓,✓,✓,✓,✓,✓,✓,
89. Phytoremediation sites,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,,,✓,✓,✓,,✓,✓,✓,
90. Urban rock gardens,,,✓,✓,✓,,,,,,,,,,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓
91. Green highway embankments,✓,✓,✓,✓,,,,,✓,✓,,,✓,✓,,✓,,,✓,✓,✓,✓,✓,✓,✓,
92. Edible bus stops,✓,✓,,✓,✓,,,,✓,,✓,,,,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
93. Urban bat habitats,,,,,,✓,✓,,✓,,,,✓,,,,,,✓,✓,,,✓,✓,✓,
94. Coastal dune restoration,✓,✓,✓,✓,✓,,✓,✓,✓,,,,✓,,✓,,,,✓,✓,✓,,✓,✓,✓,✓
95. Artificial reefs,,,,,,,✓,,✓,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
96. Beach nourishment,✓,,,✓,,,✓,,✓,,,,✓,,,✓,,✓,✓,✓,✓,,✓,✓,✓,✓
97. Mangrove restoration,✓,✓,,✓,,,✓,✓,✓,,,,✓,,,,✓,,✓,✓,✓,,✓,✓,✓,
98. Seagrass meadow restoration,,,,,✓,,✓,✓,✓,,,,✓,,,,,,✓,✓,✓,,✓,✓,✓,
99. Urban agroforestry,✓,✓,,✓,✓,,,✓,✓,,,,✓,✓,,,✓,✓,✓,✓,✓,,✓,✓,✓,✓
100. Amphibious farming,,,,✓,✓,,,,,,,,,,,,,,,,,,,,,
,Soil Survey of England and Wales (SSEW),Soil Survey of England and Wales (SSEW),Ordnance Survey Terrain 50,Ordnance Survey MasterMap Topography Layer,Met Office solar radiation data,Local authority building control records,Ordnance Survey Open Rivers,Met Office UK Climate Projections (UKCP),HM Land Registry INSPIRE Index Polygons,Environment Agency Detailed River Network,Department for Transport traffic count data,Ordnance Survey Open Roads,Ordnance Survey MasterMap Topography Layer,National Underground Asset Register (NUAR),Met Office wind data,Ordnance Survey MasterMap Topography Layer,Water company infrastructure maps,Local authority foot traffic surveys,Local authority Local Plans,Ordnance Survey Open Roads,DEFRA UK Air Information Resource (UK-AIR),DEFRA England Noise Map Viewer,National Biodiversity Network (NBN) Atlas,Local authority green space management plans,Local authority budget data,Ordnance Survey Open Greenspace
,National Soil Map (NATMAP) from Cranfield University,British Geological Survey (BGS) soil depth data,Environment Agency LiDAR data,Ordnance Survey Open Greenspace,Ordnance Survey Building Height Attribute,Ordnance Survey MasterMap Building Heights,Centre for Ecology and Hydrology (CEH) Water Bodies dataset,Centre for Environmental Data Analysis (CEDA) climate data,Local authority land ownership records,Local authority drainage maps,Highways England traffic flow data,Sustrans National Cycle Network,Ordnance Survey AddressBase Premium,"Utility company infrastructure maps (e.g., National Grid)",Ordnance Survey Terrain 50 (for topographic shelter),Local authority pavement and road surface data,Environment Agency abstraction license data,Ordnance Survey Points of Interest,National Planning Policy Framework (NPPF) designations,Local authority maintenance route maps,Local authority air quality monitoring data,Local authority noise maps,Natural England Priority Habitat Inventory,Forestry Commission woodland management guidance,Natural Capital accounts (where available),Local authority Rights of Way maps
,British Geological Survey (BGS) soil data,,,,,,,,,,,,,,,,,,,,,,,,,
